num,exchange,symbol,min_qty,min_cost,last_price,c_mult,effective_min_cost,first_timestamp,market_cap
62,binanceusdm,RSRUSDT,1,5,0.002535,1,5,1.60307E+12,128351246
63,binanceusdm,LRCUSDT,1,5,0.2452,1,5,1.60307E+12,335124262
64,binanceusdm,MATICUSDT,1,5,0.8773,1,5,1.60332E+12,8429278493
65,binanceusdm,OCEANUSDT,1,5,0.4894,1,5,1.60436E+12,277999363
66,binanceusdm,BELUSDT,1,5,0.6325,1,5,1.60566E+12,41105613
67,binanceusdm,CTKUSDT,1,5,0.6829,1,5,1.60574E+12,89389315
68,binanceusdm,AXSUSDT,1,5,7.791,1,7.791,1.60583E+12,1069799380
69,binanceusdm,ALPHAUSDT,1,5,0.10192,1,5,1.60609E+12,86294797
70,binanceusdm,ZENUSDT,0.1,5,8.052,1,5,1.60618E+12,118320475
71,binanceusdm,SKLUSDT,1,5,0.08017,1,5,1.60739E+12,413018143
72,binanceusdm,GRTUSDT,1,5,0.17538,1,5,1.60834E+12,1646071386
73,binanceusdm,1INCHUSDT,1,5,0.438,1,5,1.60885E+12,499782771
74,binanceusdm,CHZUSDT,1,5,0.10208,1,5,1.61119E+12,906171032
75,binanceusdm,SANDUSDT,1,5,0.483,1,5,1.61153E+12,1080367066
76,binanceusdm,ANKRUSDT,1,5,0.02528,1,5,1.61162E+12,252571485
77,binanceusdm,LITUSDT,0.1,5,0.904,1,5,1.61361E+12,35837992
78,binanceusdm,UNFIUSDT,0.1,5,6.231,1,5,1.61369E+12,39047043
79,binanceusdm,REEFUSDT,1,5,0.001571,1,5,1.61395E+12,35812535
80,binanceusdm,RVNUSDT,1,5,0.02013,1,5,1.61404E+12,271955895
81,binanceusdm,SFPUSDT,1,5,0.7289,1,5,1.61412E+12,336924640
82,binanceusdm,XEMUSDT,1,5,0.0362,1,5,1.61473E+12,325499892
83,binanceusdm,COTIUSDT,1,5,0.0867,1,5,1.61533E+12,131692027
84,binanceusdm,CHRUSDT,1,5,0.3509,1,5,1.61551E+12,276340320
85,binanceusdm,MANAUSDT,1,5,0.4835,1,5,1.61577E+12,914867615
86,binanceusdm,ALICEUSDT,0.1,5,1.221,1,5,1.61585E+12,83017708
87,binanceusdm,HBARUSDT,1,5,0.08036,1,5,1.61594E+12,2704641404
88,binanceusdm,ONEUSDT,1,5,0.01611,1,5,1.61603E+12,222346208
89,binanceusdm,LINAUSDT,1,5,0.00813,1,5,1.61611E+12,48713216
90,binanceusdm,STMXUSDT,1,5,0.00718,1,5,1.61637E+12,71809521
91,binanceusdm,DENTUSDT,1,5,0.001081,1,5,1.61654E+12,108246621
92,binanceusdm,CELRUSDT,1,5,0.01941,1,5,1.61698E+12,150540538
93,binanceusdm,HOTUSDT,1,5,0.002001,1,5,1.61706E+12,345687925
94,binanceusdm,MTLUSDT,1,5,1.508,1,5,1.61715E+12,100300135
95,binanceusdm,OGNUSDT,1,5,0.166,1,5,1.61724E+12,94973568
96,binanceusdm,NKNUSDT,1,5,0.11448,1,5,1.61793E+12,86390197
97,binanceusdm,DGBUSDT,1,5,0.00816,1,5,1.61896E+12,136957061
98,binanceusdm,1000SHIBUSDT,1,5,0.009702,1,5,1.6206E+12,5713516037
99,binanceusdm,BAKEUSDT,1,5,0.3834,1,5,1.62138E+12,110840783
100,binanceusdm,GTCUSDT,0.1,5,1.283,1,5,1.62337E+12,85077001
101,binanceusdm,BTCDOMUSDT,0.001,5,2224.5,1,5,1.62423E+12,#N/A
102,binanceusdm,IOTXUSDT,1,5,0.04547,1,5,1.62873E+12,429236069
103,binanceusdm,AUDIOUSDT,1,5,0.1993,1,5,1.62933E+12,238188986
104,binanceusdm,C98USDT,1,5,0.2521,1,5,1.62976E+12,175258925
105,binanceusdm,MASKUSDT,1,5,3.698,1,5,1.63002E+12,354956776
106,binanceusdm,ATAUSDT,1,5,0.0915,1,5,1.63037E+12,42257333
107,binanceusdm,DYDXUSDT,0.1,5,3.04,1,5,1.63123E+12,#N/A
108,binanceusdm,1000XECUSDT,1,5,0.03378,1,5,1.63184E+12,667619786
109,binanceusdm,GALAUSDT,1,5,0.02506,1,5,1.63192E+12,695969083
110,binanceusdm,CELOUSDT,0.1,5,0.737,1,5,1.6327E+12,388480202
111,binanceusdm,ARUSDT,0.1,5,9.096,1,5,1.63279E+12,595101738
112,binanceusdm,KLAYUSDT,0.1,5,0.2303,1,5,1.634E+12,803391869
113,binanceusdm,ARPAUSDT,1,5,0.05792,1,5,1.6346E+12,72088762
114,binanceusdm,CTSIUSDT,1,5,0.2846,1,5,1.63521E+12,220897287
115,binanceusdm,LPTUSDT,0.1,5,7.704,1,5,1.63659E+12,237963879
116,binanceusdm,ENSUSDT,0.1,5,22.658,1,5,1.63823E+12,697256240
117,binanceusdm,PEOPLEUSDT,1,5,0.02942,1,5,1.6403E+12,148966595
118,binanceusdm,ANTUSDT,0.1,5,6.773,1,5,1.64056E+12,292278953
119,binanceusdm,ROSEUSDT,1,5,0.12482,1,5,1.64091E+12,837143327
